step,denied_requests,total_nodes_traversed,total_fragments
971,200,4849,2777
972,201,4849,2777
973,202,4849,2777
974,202,4849,2777
975,202,4857,2778
976,202,4857,2779
977,202,4857,2779
978,202,4871,2779
979,202,4874,2779
980,202,4883,2779
981,203,4883,2779
982,203,4883,2779
983,203,4904,2779
984,203,4904,2779
985,203,4916,2779
986,203,4916,2779
987,204,4916,2779
988,204,4916,2779
989,204,4922,2779
990,204,4922,2779
991,205,4922,2779
992,206,4922,2779
993,206,4925,2779
994,206,4925,2779
995,206,4925,2779
996,206,4926,2780
997,206,4926,2781
998,206,4926,2782
999,206,4926,2783
1000,206,4926,2783
1001,206,4926,2783
1002,206,4927,2783
1003,206,4939,2784
1004,206,4948,2785
1005,206,4955,2786
1006,206,4955,2787
1007,206,4972,2788
1008,206,4977,2790
1009,206,4998,2793
1010,207,4998,2796
1011,208,4998,2799
1012,208,4998,2802
1013,208,5007,2805
1014,208,5011,2808
1015,208,5011,2811
1016,208,5015,2814
1017,209,5015,2817
1018,209,5015,2820
1019,209,5020,2823
1020,209,5020,2826
1021,209,5039,2829
1022,209,5039,2831
1023,209,5039,2833
1024,209,5049,2835
1025,209,5049,2837
1026,209,5068,2840
1027,209,5068,2842
1028,209,5068,2844
1029,209,5089,2847
1030,209,5101,2850
1031,209,5101,2853
1032,209,5102,2857
1033,209,5102,2861
1034,210,5102,2865
1035,210,5111,2869
1036,210,5111,2872
1037,210,5111,2874
1038,210,5112,2877
1039,210,5119,2880
1040,210,5134,2883
1041,210,5152,2886
1042,211,5152,2889
1043,212,5152,2892
1044,213,5152,2895
1045,213,5152,2898
1046,213,5152,2901
1047,213,5171,2904
1048,214,5171,2907
1049,214,5171,2909
1050,214,5171,2911
1051,214,5171,2912
1052,214,5189,2914
1053,214,5195,2916
1054,214,5195,2918
1055,214,5195,2919
1056,214,5196,2920
1057,214,5217,2922
1058,214,5217,2924
1059,214,5217,2926
1060,214,5217,2928
1061,214,5217,2930
1062,214,5217,2931
1063,214,5222,2932
1064,214,5222,2932
1065,214,5222,2932
1066,214,5233,2933
1067,214,5233,2933
1068,214,5233,2933
1069,214,5233,2933
1070,214,5247,2933
1071,214,5256,2934
1072,214,5256,2934
1073,214,5271,2934
1074,214,5274,2935
1075,214,5274,2936
1076,214,5274,2936
1077,214,5274,2936
1078,214,5278,2936
1079,214,5278,2936
1080,214,5283,2936
1081,214,5291,2936
1082,214,5291,2936
1083,214,5291,2936
1084,214,5291,2936
1085,214,5293,2936
1086,214,5293,2936
1087,214,5293,2936
1088,214,5293,2936
1089,214,5296,2936
1090,214,5303,2936
1091,214,5304,2937
1092,214,5313,2938
1093,214,5313,2939
1094,214,5323,2940
1095,214,5334,2941
1096,214,5346,2942
1097,214,5352,2943
1098,214,5365,2944
1099,214,5379,2945
1100,214,5394,2946
1101,214,5394,2947
1102,214,5394,2948
1103,214,5401,2949
1104,214,5401,2950
1105,214,5408,2951
1106,214,5416,2953
1107,214,5434,2955
1108,214,5453,2957
1109,214,5453,2959
1110,214,5453,2961
1111,214,5453,2963
1112,214,5466,2966
1113,214,5471,2969
1114,214,5492,2972
1115,214,5508,2976
1116,214,5531,2980
1117,215,5531,2984
1118,215,5531,2987
1119,215,5548,2991
1120,215,5548,2995
1121,215,5559,2999
1122,215,5559,3003
1123,215,5583,3007
1124,216,5583,3011
1125,216,5583,3014
1126,216,5583,3016
1127,216,5583,3017
1128,216,5599,3018
1129,216,5621,3019
1130,216,5634,3020
1131,216,5635,3022
1132,216,5635,3024
1133,216,5635,3026
1134,216,5635,3028
1135,216,5635,3029
1136,216,5635,3030
1137,216,5652,3031
1138,216,5656,3032
1139,216,5666,3033
1140,216,5666,3034
1141,216,5670,3036
1142,216,5693,3038
1143,216,5693,3039
1144,216,5698,3041
1145,216,5698,3043
1146,216,5698,3044
1147,216,5700,3046
1148,216,5700,3048
1149,216,5711,3050
1150,216,5711,3051
1151,216,5722,3053
1152,217,5722,3055
1153,217,5746,3057
1154,218,5746,3059
1155,218,5746,3061
1156,218,5746,3062
1157,218,5746,3063
1158,218,5758,3065
1159,218,5758,3066
1160,218,5758,3067
1161,218,5758,3067
1162,218,5758,3067
1163,218,5768,3068
1164,218,5769,3070
1165,218,5769,3071
1166,218,5769,3072
1167,218,5780,3073
1168,218,5780,3074
1169,218,5780,3075
1170,218,5800,3076
1171,219,5800,3077
1172,219,5800,3078
1173,219,5807,3079
1174,219,5807,3080
1175,219,5816,3081
1176,219,5834,3082
1177,219,5839,3083
1178,220,5839,3084
1179,221,5839,3085
1180,221,5849,3086
1181,221,5868,3087
1182,222,5868,3088
1183,223,5868,3089
1184,223,5868,3090
1185,223,5868,3091
1186,223,5889,3093
1187,223,5904,3095
1188,223,5904,3097
1189,223,5904,3099
1190,223,5904,3101
1191,223,5904,3103
1192,223,5904,3105
1193,223,5904,3107
1194,223,5909,3109
1195,223,5923,3111
1196,223,5940,3114
1197,223,5947,3117
1198,223,5947,3120
1199,223,5947,3123
1200,223,5960,3127
1201,223,5968,3132
1202,223,5968,3137
1203,223,5979,3142
1204,223,5979,3146
1205,223,5981,3150
1206,223,5984,3155
1207,223,5997,3160
1208,223,6011,3165
1209,223,6011,3170
1210,223,6023,3176
1211,223,6023,3182
1212,223,6039,3188
1213,223,6056,3194
1214,224,6056,3200
1215,224,6056,3205
1216,225,6056,3210
1217,226,6056,3215
1218,226,6056,3219
1219,227,6056,3223
1220,227,6056,3227
1221,227,6057,3232
1222,227,6071,3237
1223,228,6071,3242
1224,228,6079,3247
1225,228,6079,3251
1226,228,6079,3254
1227,228,6079,3257
1228,228,6079,3260
1229,228,6079,3263
1230,228,6079,3265
1231,228,6097,3267
1232,228,6102,3270
1233,228,6117,3274
1234,228,6117,3277
1235,228,6134,3280
1236,228,6157,3283
1237,228,6181,3286
1238,228,6186,3290
1239,229,6186,3294
1240,229,6205,3299
1241,230,6205,3304
1242,230,6205,3309
1243,230,6205,3314
1244,230,6223,3319
1245,230,6223,3324
1246,230,6236,3330
1247,230,6236,3335
1248,230,6236,3339
1249,230,6242,3344
1250,230,6261,3350
1251,231,6261,3356
1252,231,6261,3362
1253,231,6261,3368
1254,231,6286,3375
1255,231,6309,3382
1256,232,6309,3389
1257,233,6309,3396
1258,233,6309,3403
1259,233,6309,3410
1260,234,6309,3417
1261,235,6309,3424
1262,235,6309,3431
1263,235,6309,3438
1264,235,6313,3445
1265,235,6335,3452
1266,236,6335,3459
1267,236,6340,3466
1268,236,6363,3473
1269,236,6363,3479
1270,236,6363,3485
1271,237,6363,3491
1272,237,6363,3496
1273,237,6367,3501
1274,237,6383,3506
1275,237,6405,3512
1276,237,6424,3518
1277,238,6424,3524
1278,239,6424,3530
1279,240,6424,3536
1280,241,6424,3542
1281,241,6424,3547
1282,241,6450,3552
1283,241,6477,3557
1284,241,6477,3561
1285,241,6477,3565
1286,241,6503,3569
1287,241,6503,3573
1288,241,6503,3577
1289,241,6504,3581
1290,241,6504,3585
1291,242,6504,3589
1292,242,6506,3594
1293,243,6506,3599
1294,244,6506,3604
1295,245,6506,3609
1296,245,6506,3614
1297,245,6524,3619
1298,245,6543,3625
1299,245,6543,3630
1300,245,6543,3635
1301,245,6543,3639
1302,245,6567,3643
1303,245,6573,3648
1304,245,6586,3654
1305,245,6608,3660
1306,245,6608,3666
1307,246,6608,3672
1308,247,6608,3678
1309,247,6608,3684
1310,247,6609,3690
1311,247,6609,3695
1312,247,6622,3701
1313,248,6622,3707
1314,249,6622,3713
1315,249,6622,3719
1316,249,6622,3724
1317,249,6649,3729
1318,249,6673,3734
1319,250,6673,3739
1320,250,6673,3743
1321,250,6687,3748
1322,250,6687,3753
1323,250,6712,3758
1324,251,6712,3763
1325,251,6735,3768
1326,251,6735,3773
1327,252,6735,3778
1328,252,6735,3783
1329,252,6735,3787
1330,252,6735,3791
1331,252,6755,3795
1332,253,6755,3799
1333,253,6782,3803
1334,254,6782,3807
1335,254,6782,3810
1336,254,6798,3813
1337,254,6798,3816
1338,254,6798,3818
1339,254,6798,3819
1340,254,6800,3821
1341,254,6800,3822
1342,254,6802,3823
1343,255,6802,3824
1344,255,6806,3826
1345,255,6806,3827
1346,255,6806,3828
1347,255,6820,3829
1348,255,6831,3830
1349,255,6851,3832
1350,256,6851,3834
1351,256,6851,3836
1352,256,6851,3838
1353,256,6875,3841
1354,256,6879,3845
1355,256,6892,3849
1356,257,6892,3853
1357,258,6892,3857
1358,258,6892,3860
1359,258,6892,3862
1360,258,6917,3864
1361,258,6917,3865
1362,258,6930,3866
1363,258,6934,3867
1364,258,6956,3868
1365,259,6956,3869
1366,259,6979,3870
1367,260,6979,3871
1368,260,6979,3872
1369,260,7001,3874
1370,261,7001,3876
1371,261,7006,3878
1372,261,7006,3880
1373,261,7006,3882
1374,261,7006,3884
1375,261,7006,3886
1376,261,7011,3889
1377,262,7011,3892
1378,262,7011,3894
1379,262,7021,3897
1380,262,7021,3900
1381,262,7021,3903
1382,262,7021,3906
1383,262,7021,3909
1384,262,7037,3912
1385,263,7037,3915
1386,263,7037,3918
1387,264,7037,3921
1388,264,7037,3924
1389,264,7044,3927
1390,264,7044,3930
1391,264,7044,3932
1392,264,7054,3934
1393,264,7054,3936
1394,264,7066,3938
1395,264,7068,3940
1396,264,7083,3942
1397,264,7086,3945
1398,264,7086,3948
1399,264,7086,3951
1400,264,7086,3954
1401,264,7086,3956
1402,264,7086,3958
1403,264,7095,3960
1404,264,7095,3961
1405,264,7097,3962
1406,264,7109,3963
